Rank,Title,Artist,ReleaseDate,Genre,YoutubeViewCount ,Duration,BPM
70,Stay With Me,Sam Smith,08/16/2014,Pop,1.2B,03:30,120
71,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,05/18/2013,Pop,1B,07:04,88
72,Better Now,Post Malone,10/06/2018,Hip-Hop,649M,03:53,120
73,Roar,Katy Perry,09/14/2013,R&B,4B,04:30,140
74,Rude,MAGIC!,07/26/2014,Pop,2.5B,03:46,115
75,"Thank U, Next",Ariana Grande,12/31/2019,Pop,823M,03:28,108
76,Sugar,Maroon 5,03/28/2015,"Pop, Rock",4.1B,05:02,125
77,Payphone,Maroon 5 Featuring Wiz Khalifa,05/26/2012,"Hip-Hop, Rap",904M,04:40,128
78,Airplanes,B.o.B Featuring Hayley Williams,06/05/2010,"Pop, R&B",701M,03:12,120
79,Psycho,Post Malone Featuring Ty Dolla $ign,06/16/2018,Pop,1B,03:57,95
80,Bodak Yellow,Cardi B,10/07/2017,EDM,1.1B,03:54,128
81,Watch Me,Silento,07/18/2015,Dancehall,1.9B,03:23,100
82,Can't Stop The Feeling!,Justin Timberlake,05/28/2016,Latin Pop,1.8B,04:46,110
83,Cheerleader,OMI,07/25/2015,Trap,1.3B,03:10,132
84,Bad Romance,Lady Gaga,12/05/2009,Pop,1.8B,05:09,118
85,Stronger,Kelly Clarkson,02/18/2012,"Pop, Hip-Hop",507M,03:41,125
86,What Do You Mean?,Justin Bieber,09/19/2015,Electro Pop,2.2B,04:58,104
87,Nice For What,Drake,04/21/2018,Dance,423M,04:23,116
88,Sucker,Jonas Brothers,03/16/2019,Pop,390M,03:20,105
89,Meant To Be,Bebe Rexha & Florida Georgia Line,03/31/2018,Pop,1.1B,02:58,100
90,Timber,Pitbull Featuring Ke$ha,01/18/2014,Country,1.5B,03:35,120
91,Take Me To Church,Hozier,12/20/2014,Indie Folk,875M,04:17,140
92,Hotline Bling,Drake,10/24/2015,Rap,2B,04:56,130
93,Heathens,Twenty One Pilots,09/24/2016,R&B,2.2B,03:38,128
94,Super Bass,Nicki Minaj,08/13/2011,Hip-Hop,1B,03:39,75
95,F**k You! (Forget You),CeeLo Green,03/05/2011,"Pop, Dance",126M,03:54,98
96,Panda,Desiigner,05/07/2016,Pop,590M,04:03,150
97,Break Your Heart,Taio Cruz Featuring Ludacris,03/20/2010,"Hip-Hop, Rap",280M,03:12,98
98,In My Feelings,Drake,07/21/2018,Pop,294M,03:38,88
99,Wrecking Ball,Miley Cyrus,09/28/2013,R&B,1.3B,03:42,116
100,Ho Hey,The Lumineers,12/29/2012,Pop,347M,02:42,135
