Rank,Title,Artist,ReleaseDate,Genre,YoutubeViewCount,Length,BPM
67,Groove Is in the Heart,Deee-Lite,1999,Dance,88M,03:52,121.5
68,Gettin' Jiggy Wit It,Will Smith,1999,R&B,121M,03:48,107.9
69,Freak on a Leash,Korn,1996,Pop,334M,04:00,90
70,Virtual Insanity,Jamiroquai,1994,TBD,287M,03:46,92
71,Tennessee,Arrested Development,1996,R&B ,12M,04:32,99.9
72,One Week,Barenaked Ladies,1990,Rock,40M,02:48,112.8
73,Sex & Candy,Marcy Playground,1997,Fast Rock,46M,02:51,161
74,Believe [Remix],Cher,1997,TBD,384M,07:35,136
75,Jump,Kris Kross,1999,R&B,163M,03:16,102
76,Run Around,Blues Traveler,1992,Rock,30M,04:37,151.7
77,It Was a Good Day,Ice Cube,1994,Pop,296M,05:00,130.8
78,Are You Gonna Go My Way,Lenny Kravitz,1991,Rock,70M,03:32,129.7
79,Bitch,Meredith Brooks,1997,TBD,42M,03:58,96.4
80,I'm Too Sexy,Right Said Fred,1997,Dance,36M,02:51,122.1
81,Don't Want to Wait,Paula Cole,1996,TBD,5.9M,04:06,88.5
82,Mind Playing Tricks on Me,Geto Boys,1993,Pop,40M,03:33,110
83,Cannonball,The Breeders,1990,Rock,22M,04:20,113.1
84,Informer,Snow,1993,R&B,51M,04:29,98.1
85,Insane in the Brain,Cypress Hill,1991,R&B,216M,03:32,102.2
86,Linger,The Cranberries,1992,Slow,488M,04:35,94.8
87,Achy Breaky Heart,Billy Ray Cyrus,1996,Country,132M,03:23,121.8
88,Barely Breathing,Duncan Sheik,1992,TBD,16M,03:54,94.9
89,Never Said,Liz Phair,1994,Pop,539K,05:20,90.8
90,You Get What You Give,New Radicals,1995,TBD,185M,04:42,113.9
91,Building a Mystery,Sarah McLachlan,1998,TBD,1.3M,04:04,162.1
92,911 is a Joke,Public Enemy,1997,Pop,1.2M,03:40,90
93,Stay,Lisa Loeb & Nine Stories,1991,Rock,1M,03:00,160.8
94,The Way,Fastball,1991,Rock,9M,04:17,120.8
95,This Is How We Do It,Montell Jordan,1997,Dance,188M,03:57,103.6
96,(Can't Live Without Your) Love And Affection,Nelson,1991,TBD,11M,03:56,121.3
97,Gett Off,Prince,1991,Dance,12M,04:29,99.9
98,Unbelievable,EMF,1991,Rock,9.4M,03:29,104.1
99,The Rain (Supa Dupa Fly),Missy Elliott,1997,Rap,33M,03:59,160
100,Rico Suave,Gerardo,1991,R&B,4.2M,04:49,105.9
