Rank,Title,Artist,ReleaseDate,Genre,YoutubeViewCount,Length,BPM
1,Smells Like Teen Spirit,Nirvana,1991,Rock,13M,05:01,117.5
2,One,U2,1992,Slow,172M,04:35,90.6
3,I Want It That Way,Backstreet Boys,1999,TBD,1.4B,03:32,99
4,I Will Always Love You,Whitney Houston,1992,Slow,1.6B,04:31,134.7
5,Vogue,Madonna,1990,Dance,166M,05:17,116
6,Baby Got Back,Sir Mix-A-Lot,1992,R&B,80M,04:21,128.5
7,Baby One More Time,Britney Spears,1999,TBD,992M,03:30,93
8,Waterfalls,TLC,1995,Dance,160M,04:39,85.9
9,Losing My Religion,R.E.M.,1991,Rock,1.2B,04:27,125.4
10,Nothing Compares 2 U,Sinead O'Connor,1990,Slow,493M,05:08,120
11,Jeremy,Pearl Jam,1992,Slow,138M,05:19,106.2
12,You Oughta Know,Alanis Morissette,2005,TBD,85M,04:09,105
13,Nuthin' but a 'G' Thang,Dr. Dre,1993,R&B,22M,04:00,94.7
14,Vision of Love,Mariah Carey,1990,Slow,43M,03:30,102.9
15,Under the Bridge,Red Hot Chili Peppers,1992,Slow,300M,04:25,85.4
16,U Can't Touch This,MC Hammer,1990,Dance,875M,04:09,133.2
17,Say My Name,Destiny's Child,2000,TBD,403M,04:28,138
18,Enter Sandman,Metallica,1991,Rock,681M,05:31,124.2
19,Sabotage,Beastie Boys,1994,Rock,133M,02:59,84
20,Mmmbop,Hanson,1997,TBD,10M,03:56,104.9
21,My Heart Will Go On,Celine Dion,1998,Dance,32M,09:40,131
22,Loser,Beck,1994,Rock,204M,03:55,85.4
23,Whatta Man,Salt 'N' Pepa,1995,R&B,1.8M,05:08,86.6
24,Jump Around,House of Pain,1994,R&B,78M,03:38,107
25,Black Hole Sun,Soundgarden,1992,Slow,269M,05:18,107.4
26,My Name Is,Eminem,1994,TBD,267M,04:27,85.5
27,Mr. Jones,Counting Crows,1999,Rock,338M,04:31,141.6
28,Livin' La Vida Loca,Ricky Martin,1993,TBD,537M,04:03,89
29,Ice Ice Baby,Vanilla Ice,1999,R&B,576M,04:30,115.7
30,Tearin' Up My Heart,*NSYNC,1990,TBD,127M,03:27,110
31,Creep,Radiohead,1998,Rock,1B,03:58,92.1
32,No Diggity,Blackstreet,1993,TBD,388M,03:59,88.7
33,Wannabe,Spice Girls,1996,TBD,661M,02:51,110
34,Semi-Charmed Life,Third Eye Blind,1997,TBD,37M,03:39,102
35,Wonderwall,Oasis,1997,Dance,559M,04:20,87.1
36,Gonna Make You Sweat,C + C Music Factory,1995,Dance,132M,04:04,114.6
37,Time of Your Life (Good Riddance),Green Day,1990,Alternative,102M,02:27,95
38,Genie in a Bottle,Christina Aguilera,1997,TBD,274M,03:36,87.9
39,Iris,Goo Goo Dolls,1999,TBD,564M,03:37,157.4
40,I Wanna Sex U Up,Color Me Badd,1999,Dance,16M,04:06,101
41,Two Princes,Spin Doctors,1991,Rock,121M,04:16,103.9
42,Shine,Collective Soul,1993,Rock,76M,05:06,150.1
43,My Lovin' (You're Never Gonna Get It),En Vogue,1994,Dance,15M,04:44,98
44,Killing Me Softly,Fugees,1992,R&B,591M,04:26,92.4
45,Only Wanna Be With You,Hootie & The Blowfish,1996,Rock,19M,03:46,103.5
46,You're Still the One,Shania Twain,1995,Country,290M,03:15,134.1
47,Good Vibrations,Marky Mark & the Funky Bunch,2004,Dance,16M,04:30,121.6
48,ThreeAm,Matchbox Twenty,1991,Alternative,133M,03:44,108
49,Who Will Save Your Soul,Jewel,1997,TBD,28M,03:59,126.6
50,Man in the Box,Alice in Chains,1996,NA,171M,04:50,111.3
51,California Love,2Pac,1996,R&B,57M,04:47,91.5
52,Fly,Sugar Ray,1997,TBD,38M,04:00,99.7
53,O.P.P.,Naughty by Nature,1991,R&B,17M,04:30,97.7
54,One of Us,Joan Osborne,1990,Dance,91M,05:19,88.4
55,Criminal,Fiona Apple,1995,Dance,49M,04:43,89.9
56,Mama Said Knock You Out,LL Cool J,1998,R&B,45M,04:50,102.4
57,Can I Get a -,Jay-Z,1991,Dance,12M,04:42,88.5
58,"Damn, I Wish I Was Your Lover",Sophie B. Hawkins,1999,Rock,42M,05:12,95.1
59,Buddy Holly,Weezer,1992,Rock,77M,02:40,121.2
60,Poison,Bell Biv Devoe,1994,Dance,24M,04:24,111.8
61,All I Wanna Do,Sheryl Crow,1990,Rock,7.7M,04:32,120.1
62,I Alone,Live,1994,Rock,22M,03:50,89.9
63,Mo Money Mo Problems,Notorious B.I.G. Featuring Puff Daddy & Mase,1997,R&B,117M,04:10,104.4
64,Peaches,The Presidents of the United States of America,1990,TBD,3.9M,02:48,119.9
65,The Humpty Dance,Digital Underground,1992,R&B,50M,06:26,103.5
66,I'll Be,Edwin McCain,1996,TBD,44M,03:54,95.3
