Rank,Title,Artist,ReleaseDate,Genre,YoutubeViewCount,Length,BPM
81,Word Up,Cameo,1981,Rock 1980s,51M,04:20,115.9
82,Tempted,Squeeze,1988,Disco,2.8M,03:58,93.9
83,Kiss,Prince,1985,Dance 1980s,76M,03:47,111.5
84,All Night Long (All Night),Lionel Richie,1988,Dance 1980s,171M,04:14,108.7
85,Addicted to Love,Robert Palmer,1984,R&B 1980s,123M,04:25,111.6
86,I Want Candy,Bow Wow Wow,1982,Dance 1980s,6.1M,02:45,109.3
87,Rock Me Amedeus,Falco,1983,Rock 1980s,82M,03:10,92.7
88,Ain't Nobody,Faith Evans,1981,Dance 1980s,1.6M,03:50,86.1
89,Brass in Pocket,The Pretenders,1984,Rock 1980s,9M,03:03,98.5
90,Wild Thing,Tone Loc,1986,Dance 1980s,30M,04:24,125.6
91,Walking on Sunshine,Katrina and the Waves,1983,Dance 1980s,82M,03:59,109.9
92,You Got It (The Right Stuff),New Kids on the Block,1980,Dance 1980s,57M,04:11,111.5
93,Cars,Gary Numan,1988,Rock 1980s,14M,03:36,129.2
94,Start Me Up,The Rolling Stones,1985,Rock 1980s,71M,03:34,122
95,Only in My Dreams,Debbie Gibson,1988,R&B 1980s,10M,03:50,124.3
96,Down Under,Men at Work,1982,Dance 1980s,423M,03:43,107.5
97,What I Like About You,The Romantics,1988,Rock 1980s,22M,02:56,159.3
98,My Perrogative,Bobby Brown,1985,Rock 1980s,62M,04:47,110.2
99,Everybody Have Fun Tonight,Wang Chung,1980,Rock 1980s,23M,04:15,129.1
100,Working for the Weekend,Loverboy,1982,Rock 1980s,10M,03:41,147.1
